periodo_contable,periodo_fecha,tipo_indicador,nombre_campo,nombre_natural,total_registros,cantidad_mala,porcentaje,es_total
202508,2025-08-01,completitud,accountable_period,Periodo contable,3975901,0,100.0,0
202508,2025-08-01,completitud,branch_sk,Sucursal / comercial,3975901,0,100.0,0
202508,2025-08-01,completitud,coverage_code,Código de cobertura,3975901,0,100.0,0
202508,2025-08-01,completitud,current_record_flag,Marca de vigencia del registro,3975901,0,100.0,0
202508,2025-08-01,completitud,inception_date_sk,Fecha de inicio del contrato,3975901,0,100.0,0
202508,2025-08-01,completitud,policy_effective_date_sk,Fecha de efectividad de póliza,3975901,0,100.0,0
202508,2025-08-01,completitud,policy_expiration_date_sk,Fecha de vencimiento de póliza,3975901,0,100.0,0
202508,2025-08-01,completitud,policy_number,Número de póliza,3975901,0,100.0,0
202508,2025-08-01,completitud,policy_transaction_movement_sk,Identificador del movimiento,3975901,0,100.0,0
202508,2025-08-01,completitud,product_code,Código de producto (ramo),3975901,0,100.0,0
202508,2025-08-01,completitud,receipt_number,Número de recibo,3975901,0,100.0,0
202508,2025-08-01,completitud,receipt_type,Tipo de recibo,3975901,0,100.0,0
202508,2025-08-01,completitud,risk_number,Número de riesgo,3975901,0,100.0,0
202508,2025-08-01,completitud,source_system,Sistema fuente,3975901,0,100.0,0
202508,2025-08-01,completitud,sseguro,Identificador de seguro (derivado del riesgo),3975901,0,100.0,0
202508,2025-08-01,completitud,transaction_date_sk,Fecha del movimiento,3975901,0,100.0,0
202508,2025-08-01,completitud,transaction_delta_billed_premium_amount,Prima facturada (monto neto),3975901,0,100.0,0
202508,2025-08-01,completitud,transaction_delta_billed_premium_amount_raw,Prima facturada (valor bruto),3975901,0,100.0,0
202508,2025-08-01,completitud,transaction_delta_commission_amount,Comisión del movimiento,3975901,0,100.0,0
202508,2025-08-01,completitud,transaction_effective_date_sk,Fecha efectiva del movimiento,3975901,0,100.0,0
202508,2025-08-01,completitud,transaction_type,Tipo de transacción,3975901,0,100.0,0
202508,2025-08-01,completitud,transaction_type_description,Descripción del tipo de transacción,3975901,0,100.0,0
202508,2025-08-01,completitud,TOTAL_PERIODO,Total del periodo,3975901,0,100.0,1
