tipo_persona,desc_tipo_persona,atributo,pct_completitud,pct_validez,pct_unicidad,pct_precision,pct_consistencia,pct_oportunidad,cumple_completitud_90,cumple_validez_90,cumple_unicidad_90,cumple_precision_90,cumple_consistencia_90,cumple_oportunidad_90,periodo
1,Persona natural,celular,98.91,98.02,94.06,,,30.90,1,1,1,0,0,0,202606
1,Persona natural,correo_electronico,98.36,98.24,91.16,,,31.18,1,1,1,0,0,0,202606
1,Persona natural,fecha_nacimiento,94.79,91.84,,,,,1,1,0,0,0,0,202606
1,Persona natural,fecha_vinculacion,100.00,99.99,,,,,1,1,0,0,0,0,202606
1,Persona natural,nombres_completos,100.00,98.53,99.54,,,,1,1,1,0,0,0,202606
1,Persona natural,numero_documento,100.00,99.75,99.91,,,,1,1,1,0,0,0,202606
1,Persona natural,total_activos,31.50,31.50,,,,10.28,0,0,0,0,0,0,202606
1,Persona natural,total_egresos,82.61,82.61,,64.03,99.47,12.02,0,0,0,0,1,0,202606
1,Persona natural,total_ingresos,88.85,88.85,,70.29,98.29,6.93,0,0,0,0,1,0,202606
1,Persona natural,total_pasivos,36.72,36.72,,,,9.89,0,0,0,0,0,0,202606
2,Persona juridica,celular,93.17,87.12,77.89,,,31.81,1,0,0,0,0,0,202606
2,Persona juridica,correo_electronico,91.62,91.53,80.23,,,28.69,1,1,0,0,0,0,202606
2,Persona juridica,fecha_nacimiento,82.30,72.54,,,,,0,0,0,0,0,0,202606
2,Persona juridica,fecha_vinculacion,100.00,99.34,,,,,1,1,0,0,0,0,202606
2,Persona juridica,nombres_completos,100.00,70.09,99.08,,,,1,0,1,0,0,0,202606
2,Persona juridica,numero_documento,100.00,98.44,97.60,,,,1,1,1,0,0,0,202606
2,Persona juridica,total_activos,96.38,96.38,,,,0.76,1,1,0,0,0,0,202606
2,Persona juridica,total_egresos,97.14,97.14,,87.81,0.00,0.95,1,1,0,0,0,0,202606
2,Persona juridica,total_ingresos,97.71,97.71,,91.62,0.00,0.38,1,1,0,1,0,0,202606
2,Persona juridica,total_pasivos,89.52,89.52,,,,1.71,0,0,0,0,0,0,202606
