tipo_persona_cod,campo_cod,dimension_cod,valor,periodo
1,1,1,100.00,202606
1,1,2,99.75,202606
1,1,3,99.91,202606
1,2,1,100.00,202606
1,2,2,98.53,202606
1,2,3,99.54,202606
1,3,1,94.79,202606
1,3,2,91.84,202606
1,4,1,100.00,202606
1,4,2,99.99,202606
1,5,1,98.91,202606
1,5,2,98.02,202606
1,5,3,94.06,202606
1,5,6,30.90,202606
1,6,1,98.36,202606
1,6,2,98.24,202606
1,6,3,91.16,202606
1,6,6,31.18,202606
1,7,1,31.50,202606
1,7,2,31.50,202606
1,7,6,10.28,202606
1,8,1,36.72,202606
1,8,2,36.72,202606
1,8,6,9.89,202606
1,9,1,88.85,202606
1,9,2,88.85,202606
1,9,4,70.29,202606
1,9,5,98.29,202606
1,9,6,6.93,202606
1,10,1,82.61,202606
1,10,2,82.61,202606
1,10,4,64.03,202606
1,10,5,99.47,202606
1,10,6,12.02,202606
2,1,1,100.00,202606
2,1,2,98.44,202606
2,1,3,97.60,202606
2,2,1,100.00,202606
2,2,2,70.09,202606
2,2,3,99.08,202606
2,3,1,82.30,202606
2,3,2,72.54,202606
2,4,1,100.00,202606
2,4,2,99.34,202606
2,5,1,93.17,202606
2,5,2,87.12,202606
2,5,3,77.89,202606
2,5,6,31.81,202606
2,6,1,91.62,202606
2,6,2,91.53,202606
2,6,3,80.23,202606
2,6,6,28.69,202606
2,7,1,96.38,202606
2,7,2,96.38,202606
2,7,6,0.76,202606
2,8,1,89.52,202606
2,8,2,89.52,202606
2,8,6,1.71,202606
2,9,1,97.71,202606
2,9,2,97.71,202606
2,9,4,91.62,202606
2,9,5,0.00,202606
2,9,6,0.38,202606
2,10,1,97.14,202606
2,10,2,97.14,202606
2,10,4,87.81,202606
2,10,5,0.00,202606
2,10,6,0.95,202606
