Campo,Nombre_Natural
source_system,Sistema fuente
accountable_period,Periodo contable
coverage_code,Cobertura
branch_sk,Sucursal
product_code,Producto (ramo)
transaction_date_sk,Fecha movimiento
policy_effective_date_sk,Inicio póliza
policy_expiration_date_sk,Fin póliza
inception_date_sk,Inicio contrato
transaction_type,Tipo movimiento
transaction_effective_date_sk,Fecha efectiva mov.
transaction_type_description,Descripción movimiento
current_record_flag,Marca de vigencia
transaction_delta_billed_premium_amount,Prima facturada
transaction_delta_billed_premium_amount_raw,Prima facturada (bruta)
transaction_delta_commission_amount,Comisión
risk_number,N° de riesgo
policy_number,N° de póliza
policy_transaction_movement_sk,ID de movimiento
sseguro,ID de seguro
receipt_type,Tipo de recibo
receipt_number,N° de recibo
