ramo,product_description,categoria
01,RAMO CUMPLIMIENTO,Cumplimiento
02,MANEJO,Manejo / Riesgos Financieros
10,NAVEGACION,Transporte / Navegación
10000,HOGAR INTEGRAL HDI,Hogar
10001,HOGAR MODULAR HDI,Hogar
10003,HOGAR MODULAR HDI,Hogar
10004,CUMPLIMIENTO HDI,Cumplimiento
10005,RCE DERIVADA CUMPLIMIENTO HDI,Responsabilidad Civil
10024,PYME COLECTIVO HDI,PYME / Multiriesgo
11,CORRIENTE DEBIL,Ingeniería
111715,RC INDIVIDUAL HDI,Responsabilidad Civil
12,RESPONSABILIDAD CIVIL,Responsabilidad Civil
17,MONTAJE,Ingeniería
18,ROTURA DE MAQUINARIA HDI,Ingeniería
19,TODO RIESGO,Daños Materiales
22,GLOBAL BANCARIA,Manejo / Riesgos Financieros
368,ACCIDENTES PERSONALES SOAT,SOAT
396,EXEQUIAL HDI,Exequias
410,HOGAR DULCE HOGAR,Hogar
411,HOGAR DULCE HOGAR EMPRESARIAL,Hogar
462,PLAN FAMILIA COLEMNA 2000,Vida
463,PLAN FAMILIA COLEMNA 2002,Vida
6023,VIDA GRUPO NO CONTRIBUTIVO HDI,Vida
6024,COLECTIVO DE VIDA HDI,Vida
6025,VIDA DEUDORES HDI,Vida
6026,VIDA GRUPO CONTRIBUTIVO HDI,Vida
6028,VIDA GRUPO NO CONTRIBUTIVO-INNOMINADO HDI,Vida
6029,VIDA GRUPO NO CONTRIBUTIVO-NEGOCIOS ESP,Vida
6031,TOTAL AUTO HDI,Autos
6033,Alta gama HDI,Autos
6034,MOTOS HDI,Autos
6035,MODULAR HDI,Autos
6036,CLASICOS Y ANTIGUOS HDI,Autos
6038,TAXIS INDIVIDUAL HDI,Autos
6039,PESADOS INDIVIDUAL HDI,Autos
6041,COLECTIVA INDIVIDUALIZADA HDI,Autos
6042,TOTAL AUTO SKCOL HDI,Autos
6043,MOTOS COLECTIVO HDI,Autos
6045,TOTAL AUTO TASA UNICA HDI,Autos
6046,TAXIS COLECTIVOS HDI,Autos
6047,PESADO COLECTIVO HDI,Autos
6048,MOTO COLECTIVA TASA UNICA HDI,Autos
6049,RC AUTO HDI,Autos
6052,VIDA DEUDORES-INNOMINADO HDI,Vida
6060,TOTAL AUTO (BBVA ANUAL) HDI,Autos
6061,TOTAL AUTO (BBVA MENSUAL) HDI,Autos
6071,HOGAR INTEGRAL HDI,Hogar
70107,TRANSPORTE HDI,Transporte / Navegación
70108,EMPRESAS TRANSPORTADORAS DE CARGA POR CARRETERA HDI,Transporte / Navegación
7467,ACCIDENTES PERSONALES INDIVIDUAL HDI,Accidentes Personales
7468,ACCIDENTES PERSONALES COLECTIVO-INNOMINADO HDI,Accidentes Personales
7469,ACCIDENTES PERSONALES COLECTIVO-NOMINADO HDI,Accidentes Personales
800004,PESADOS INDIVIDUAL HDI - MENSUAL,Autos
800007,RC INDIVIDUAL HDI- USD,Responsabilidad Civil
800008,INGENIERIA HDI- USD,Ingeniería
800020,Desempleo,Otros
8092,CASCO Y NAVEGACIÓN HDI,Transporte / Navegación
900719,EXEQUIAS INDIVIDUAL HDI,Exequias
900720,EXEQUIAS COLECTIVO NOMINADO HDI,Exequias
900721,EXEQUIAS COLECTIVO-INNOMINADO HDI,Exequias
900730,SOAT HDI,SOAT
900731,PLATAFORMA TRANSPORTE HDI,Autos
900742,PYME MULTIRIESGO HDI,PYME / Multiriesgo
900744,EMPRESAS SERVICIOS PUBLICOS-GASERAS HDI,Daños Materiales
900745,INGENIERIA HDI,Ingeniería
900746,INCENDIO Y/O RAYO HDI,Daños Materiales
900747,INCENDIO Y/O RAYO HDI,Daños Materiales
900748,HOGAR MULTIRIESGO HDI,Hogar
900751,MANEJO HDI,Manejo / Riesgos Financieros
900752,RC COLECTIVO HDI,Responsabilidad Civil
900753,PRODUCTO UNICO AUTOS COLECTIVO HDI,Autos
900754,HOGAR MASIVO HDI,Hogar
900758,HOGAR HDI,Hogar
900762,VIDA COASEGURO ACEPTADO HDI,Vida
900765,COASEGURO ACEPTADO HDI,Otros
900771,Vida grupo HDI,Vida
900774,TODO RIESGO DAÑO MATERIAL HDI,Daños Materiales
900775,RESPONSABILIDAD CIVIL HDI,Responsabilidad Civil
900776,INFIDELIDAD Y RIESGOS FINANCIEROS HDI,Manejo / Riesgos Financieros
900777,CARGO HDI,Transporte / Navegación
900778,LINEAS ESPECIALES NAVEGACION HDI,Transporte / Navegación
900779,LINEAS ESPECIALES INGENIERIA HDI,Ingeniería
900780,LINEAS ESPECIALES COASEGURO ACEPTADO HDI,Otros
900792,POLIZA ANDINA HDI,Autos
900793,AGROPECUARIO HDI,Agropecuario
900794,Aviación HDI,Aviación
900795,TRAYECTOS HDI,Autos
ADU,ASIS. MÉDICA DOMICILIARIA HDI,Asistencias
BO,CUMPLIMIENTO,Cumplimiento
DO1,MIEMBROS JUNTA DIRECTIVA,Responsabilidad Civil
E1,SALUD EVENTOS CRÍTICOS HDI,Salud
GC,GRUPO VIDA CONTRIBUT.,Vida
H1,SALUD HEALTH EVOLUTION HDI,Salud
IF,INTEGRAL FAMILIAR,Vida
IN,INCENDIO,Daños Materiales
JU,JUDICIAL,Cumplimiento
LA1,RESPON CIVIL MEDIOAMBIENT AUTO,Responsabilidad Civil
LB,RESPONS.CIVIL EXTRACONTRACTUAL,Responsabilidad Civil
LGP,GLOBAL PROTECTION,Otros
PY,PYME,PYME / Multiriesgo
RC,RESPONSABILIDAD CIVIL GENERAL,Responsabilidad Civil
RCL,RESP CIVIL EXTRACONTRACTUAL,Responsabilidad Civil
RCM,RES CIVIL DE PTOS Y TERMINALES,Responsabilidad Civil
RCP,RESPONS CIVIL LIBERTY CYBER PL,Responsabilidad Civil
RCT,RESP CIVIL POR TERRORISMO HDI,Responsabilidad Civil
RDH,RENTA DIARIA POR HOSPITALIZAC,Salud
REO,RESP CIVIL ERRORES Y OMISIONES,Responsabilidad Civil
SE,SEGURO DE SALUD ESENCIAL HDI,Salud
ST,SUSTRACCIÓN CON VIOLENCIA HDI,Daños Materiales
T1,TOTAL HELP INDIV. PLUS HDI,Asistencias
TRM,TRANSPORTE MERCANCIAS,Transporte / Navegación
Z1,SALUD TOTAL HELP MD HDI,Salud
